37201,37201,37209,37201,37243
37202,37201,37209,37201,37243
37203,37201,37209,37201,37243
37204,37201,37209,37201,37243
37205,37201,37209,37201,37243
37206,37201,37209,37201,37243
37207,37201,37209,37201,37243
37208,37201,37209,37201,37243
37209,37201,37209,37201,37243
37210,37210,37219,37201,37243
37211,37210,37219,37201,37243
37212,37210,37219,37201,37243
37213,37210,37219,37201,37243
37214,37210,37219,37201,37243
37215,37210,37219,37201,37243
37216,37210,37219,37201,37243
37217,37210,37219,37201,37243
37218,37210,37219,37201,37243
37219,37210,37219,37201,37243
37220,37220,37229,37201,37243
37221,37220,37229,37201,37243
37222,37220,37229,37201,37243
37223,37220,37229,37201,37243
37224,37220,37229,37201,37243
37225,37220,37229,37201,37243
37226,37220,37229,37201,37243
37227,37220,37229,37201,37243
37228,37220,37229,37201,37243
37229,37220,37229,37201,37243
37230,37230,37239,37201,37243
37231,37230,37239,37201,37243
37232,37230,37239,37201,37243
37233,37230,37239,37201,37243
37234,37230,37239,37201,37243
37235,37230,37239,37201,37243
37236,37230,37239,37201,37243
37237,37230,37239,37201,37243
37238,37230,37239,37201,37243
37239,37230,37239,37201,37243
37240,37240,37243,37201,37243
37241,37240,37243,37201,37243
37242,37240,37243,37201,37243
37243,37240,37243,37201,37243
